Night,                 File number ,          Avg. Pixel shift*  ,      # of lines found,After Correction ,          Avg. Pixel shift*  ,      # of lines found,After Correction,          Avg. Pixel shift*  ,      # of lines found,After Correction
,,OLD RESULTS,,,NEW RESULTS,,,Actual new results ,,
171117,1003,-1.928,1803,1668,-1.6521208,1902,1701,-1.7405777,1885,1705
171117,1153,-0.522,1789,1635,-0.21422001,1863,1643,-0.25401586,1872,1644
171117,1172,-0.388,1946,1772,-0.069561905,2019,1777,-0.19134081,2016,1780
,,,,,,,,,,
181103,1003,2.732,2077,1852,2.810313,2065,1849,,,
181103,1163,2.642,2036,1826,2.6962631,2033,1828,,,
181103,1196,2.654,2146,1921,2.7204153,2144,1928,,,
,,,,,,,,,,
190222,1003,-0.042,1898,1721,0.2902679,1986,1752,,,
190222,1149,-0.071,1846,1689,0.21328171,1917,1711,,,
190222,1162,-0.091,1866,1693,0.22243447,1949,1714,,,
190222,1190,-0.036,1980,1777,0.2408972,2054,1801,,,
,,,,,,,,,,
201121,1003,1.089,2073,1860,1.5127939,1991,1818,,,
201121,1149,1.007,1986,1783,1.4114189,1913,1753,,,
201121,1180,1.033,2155,1933,1.4323115,2067,1896,,,
